,date,tvl_usd
1207,2024-08-08 00:00:00,7807102384.53314
1208,2024-08-09 00:00:00,8565566065.7877
1209,2024-08-10 00:00:00,8590751887.44543
1210,2024-08-11 00:00:00,8612828918.72756
1211,2024-08-12 00:00:00,8466179604.08886
1212,2024-08-13 00:00:00,8809405701.07645
1213,2024-08-14 00:00:00,8961175270.4936
1214,2024-08-15 00:00:00,8681313455.04519
1215,2024-08-16 00:00:00,8506983716.65587
1216,2024-08-17 00:00:00,8659649993.66576
1217,2024-08-18 00:00:00,8610059635.408
1218,2024-08-19 00:00:00,8717814441.78506
1219,2024-08-20 00:00:00,8636010745.328
1220,2024-08-21 00:00:00,8644287224.6157
1221,2024-08-22 00:00:00,8929290381.03559
1222,2024-08-23 00:00:00,8855496350.59522
1223,2024-08-24 00:00:00,9284416167.29236
1224,2024-08-25 00:00:00,9213456672.65481
1225,2024-08-26 00:00:00,9292819197.36168
1226,2024-08-27 00:00:00,9031932881.68026
1227,2024-08-28 00:00:00,8424069375.48772
1228,2024-08-29 00:00:00,8519451641.20117
1229,2024-08-30 00:00:00,8535061101.51801
1230,2024-08-31 00:00:00,8564987703.51596
1231,2024-09-01 00:00:00,8538494111.73985
1232,2024-09-02 00:00:00,8314813252.74582
1233,2024-09-03 00:00:00,8677697575.32874
1234,2024-09-04 00:00:00,8450525529.27575
1235,2024-09-05 00:00:00,8468057164.24807
1236,2024-09-06 00:00:00,8225943702.33736
1237,2024-09-07 00:00:00,7870068305.03399
1238,2024-09-08 00:00:00,7961591914.87415
1239,2024-09-09 00:00:00,8010875973.69058
1240,2024-09-10 00:00:00,8378931030.00247
1241,2024-09-11 00:00:00,8468081950.26983
1242,2024-09-12 00:00:00,8410315367.48322
1243,2024-09-13 00:00:00,8452776336.8223
1244,2024-09-14 00:00:00,8854348119.19793
1245,2024-09-15 00:00:00,8827861678.80663
1246,2024-09-16 00:00:00,8594259838.19203
1247,2024-09-17 00:00:00,8503621889.04303
1248,2024-09-18 00:00:00,8714471592.91848
1249,2024-09-19 00:00:00,8696209205.34041
1250,2024-09-20 00:00:00,9091812768.70753
1251,2024-09-21 00:00:00,9356555318.02921
1252,2024-09-22 00:00:00,9360221984.34089
1253,2024-09-23 00:00:00,9329344605.21914
1254,2024-09-24 00:00:00,9699435278.26494
1255,2024-09-25 00:00:00,9789002757.11201
1256,2024-09-26 00:00:00,9630491103.17703
1257,2024-09-27 00:00:00,9870352084.71783
1258,2024-09-28 00:00:00,10058490837.26829
1259,2024-09-29 00:00:00,9988073613.76036
1260,2024-09-30 00:00:00,9943454608.21883
