,month,wallet_address,eth_balance,tx_count
4084,2024-08,0x000000629fbcf27a347d1aeba658435230d74a5f,15.00005,0
4085,2024-09,0x000000629fbcf27a347d1aeba658435230d74a5f,15.00005,0
4086,2024-10,0x000000629fbcf27a347d1aeba658435230d74a5f,15.00005,0
4087,2024-11,0x000000629fbcf27a347d1aeba658435230d74a5f,15.00005,0
4088,2024-12,0x000000629fbcf27a347d1aeba658435230d74a5f,5.1e-05,2
4089,2025-01,0x000000629fbcf27a347d1aeba658435230d74a5f,-19.999949,1
4090,2025-02,0x000000629fbcf27a347d1aeba658435230d74a5f,-19.999949,0
4091,2025-03,0x000000629fbcf27a347d1aeba658435230d74a5f,-19.999949,0
4092,2025-04,0x000000629fbcf27a347d1aeba658435230d74a5f,-19.999949,0
4093,2024-05,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,-1.7e-05,16766
4094,2024-06,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,-0.000118,100758
4095,2024-07,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,18.999874,8790
4096,2024-08,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,18.999879,2
4097,2024-09,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,18.999879,0
4098,2024-10,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,23.729379,2
4099,2024-11,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,30.089379,1
4100,2024-12,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,51.329379,2
4101,2025-01,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,78.399379,2
4102,2025-02,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,82.469379,1
4103,2025-03,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,86.347379,1
4104,2025-04,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,88.627379,1
5153,2024-05,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,0.0,0
5154,2024-06,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,-0.014307,3
5155,2024-08,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,2.970663,2644
5156,2024-09,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,2.940601,3317
5157,2024-12,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,1.940601,1
5158,2025-01,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,1.840601,2
5159,2025-02,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,1.840554,1
5160,2025-03,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,1.575028,24
5161,2025-04,0x000000dbc80bf780c6dc0ca16ed071b1f00cc000,1.556696,20
5501,2024-04,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-0.992773,24
5502,2024-05,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-1.804681,12
5503,2024-06,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-2.163597,8
5504,2024-07,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-5.756872,11
5505,2024-08,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-6.345025,8
5506,2024-09,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-4.844993,10
5507,2024-10,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-4.653842,9
5508,2024-11,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-5.257215,9
5509,2024-12,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-12.286563,11
5510,2025-01,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-16.311414,8
5511,2025-02,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-18.978182,2
5512,2025-03,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-18.387902,1
5513,2025-04,0x000000ffa51e8fd8dc15c5b77990234810a640e8,-20.387902,1
5692,2024-12,0x000001ac4e512d670c34fedf6c71ce2f49fb160a,0.249692,23
5693,2025-01,0x000001ac4e512d670c34fedf6c71ce2f49fb160a,1.991362,112
5694,2025-02,0x000001ac4e512d670c34fedf6c71ce2f49fb160a,3.442371,176
5695,2025-03,0x000001ac4e512d670c34fedf6c71ce2f49fb160a,4.677287,168
5696,2025-04,0x000001ac4e512d670c34fedf6c71ce2f49fb160a,6.540479,48
7664,2025-03,0x00000cd8d737fdaba0b5118964db92699436f6af,0.098862,1
7665,2025-04,0x00000cd8d737fdaba0b5118964db92699436f6af,1.134362,3
11694,2024-04,0x0000db5c8b030ae20308ac975898e09741e70000,-10.750616,45
11695,2024-05,0x0000db5c8b030ae20308ac975898e09741e70000,0.67271,20
11696,2024-06,0x0000db5c8b030ae20308ac975898e09741e70000,-14.483813,49
11697,2024-07,0x0000db5c8b030ae20308ac975898e09741e70000,-47.466877,34
11698,2024-08,0x0000db5c8b030ae20308ac975898e09741e70000,-46.685011,54
11699,2024-09,0x0000db5c8b030ae20308ac975898e09741e70000,-82.759801,25
11700,2024-10,0x0000db5c8b030ae20308ac975898e09741e70000,-100.049378,16
11701,2024-11,0x0000db5c8b030ae20308ac975898e09741e70000,-88.025083,18
11702,2024-12,0x0000db5c8b030ae20308ac975898e09741e70000,-95.465671,21
11703,2025-01,0x0000db5c8b030ae20308ac975898e09741e70000,-95.006922,27
11704,2025-02,0x0000db5c8b030ae20308ac975898e09741e70000,-96.996142,53
11705,2025-03,0x0000db5c8b030ae20308ac975898e09741e70000,-97.373065,67
11706,2025-04,0x0000db5c8b030ae20308ac975898e09741e70000,-97.777041,294
12355,2025-04,0x0000fdf3af21c329851de8e981178928e472edd9,-0.311213,760
15643,2025-02,0x0002c23c2435e5fd86fdf47a1b9b84855cea4337,0.038471,1
15644,2025-03,0x0002c23c2435e5fd86fdf47a1b9b84855cea4337,0.038471,0
15645,2025-04,0x0002c23c2435e5fd86fdf47a1b9b84855cea4337,0.037771,1
16540,2025-03,0x00033ea45e9662ee4fedbf4dff54871d0187d519,0.016846,352
16541,2025-04,0x00033ea45e9662ee4fedbf4dff54871d0187d519,0.021274,76
17393,2025-02,0x0003b5aa5e30e97fcc596bb5d0f3a75255e08d4e,0.425,7
17394,2025-04,0x0003b5aa5e30e97fcc596bb5d0f3a75255e08d4e,102294.454424,2245
21646,2024-04,0x00061d66a35202f80208abb42e6b8b14352d403c,-0.769374,110
21647,2024-05,0x00061d66a35202f80208abb42e6b8b14352d403c,-1.232642,98
21648,2024-06,0x00061d66a35202f80208abb42e6b8b14352d403c,-2.692716,148
21649,2024-07,0x00061d66a35202f80208abb42e6b8b14352d403c,-9.059174,170
21650,2024-08,0x00061d66a35202f80208abb42e6b8b14352d403c,-9.852892,131
21651,2024-09,0x00061d66a35202f80208abb42e6b8b14352d403c,-12.244852,90
21652,2024-10,0x00061d66a35202f80208abb42e6b8b14352d403c,-22.269948,141
21653,2024-11,0x00061d66a35202f80208abb42e6b8b14352d403c,-24.931164,132
21654,2024-12,0x00061d66a35202f80208abb42e6b8b14352d403c,-27.853728,54
21655,2025-01,0x00061d66a35202f80208abb42e6b8b14352d403c,-31.618555,76
21656,2025-02,0x00061d66a35202f80208abb42e6b8b14352d403c,-34.470737,72
21657,2025-03,0x00061d66a35202f80208abb42e6b8b14352d403c,-55.931549,133
21658,2025-04,0x00061d66a35202f80208abb42e6b8b14352d403c,-71.623033,67
28001,2025-02,0x000986b1b107526f9ed8a4f74c959ac5eec80000,0.044166,58
28002,2025-03,0x000986b1b107526f9ed8a4f74c959ac5eec80000,-0.415434,143
28003,2025-04,0x000986b1b107526f9ed8a4f74c959ac5eec80000,-0.479434,89
34417,2025-04,0x000d3960c65d0072df90caac5e8b71c620980000,1.642552,3
50506,2024-04,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50507,2024-05,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50508,2024-06,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50509,2024-07,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50510,2024-08,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50511,2024-09,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50512,2024-10,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50513,2024-11,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50514,2024-12,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50515,2025-01,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50516,2025-02,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50517,2025-03,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
50518,2025-04,0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,0.0,0
52340,2024-10,0x0017c461248701fa69c23e3e63610949b176b057,-0.175183,10
52341,2025-02,0x0017c461248701fa69c23e3e63610949b176b057,-4.484584,23
52342,2025-03,0x0017c461248701fa69c23e3e63610949b176b057,-4.755303,12
52343,2025-04,0x0017c461248701fa69c23e3e63610949b176b057,-10.411277,33
71374,2024-08,0x00236feeac26ef92552e3981096350d136084c64,-1060.217401,7
71375,2024-09,0x00236feeac26ef92552e3981096350d136084c64,-1146.186634,19
71376,2024-10,0x00236feeac26ef92552e3981096350d136084c64,-1227.634207,12
71377,2024-11,0x00236feeac26ef92552e3981096350d136084c64,-1303.921714,16
71378,2024-12,0x00236feeac26ef92552e3981096350d136084c64,-1315.27594,17
71379,2025-01,0x00236feeac26ef92552e3981096350d136084c64,-1321.638688,11
71380,2025-02,0x00236feeac26ef92552e3981096350d136084c64,-1354.701552,15
71381,2025-03,0x00236feeac26ef92552e3981096350d136084c64,-1468.729001,29
71382,2025-04,0x00236feeac26ef92552e3981096350d136084c64,-1516.182726,11
103808,2024-04,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,1
103809,2024-05,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103810,2024-06,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103811,2024-07,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103812,2024-08,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103813,2024-09,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103814,2024-10,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103815,2024-11,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103816,2024-12,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103817,2025-01,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103818,2025-02,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103819,2025-03,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
103820,2025-04,0x0037825fd75af7eeace28889665e3fac8fdb6300,10.0,0
110849,2024-04,0x003bfb76af7e140cb11d04f1603921266d39ac64,1.406518,61
110850,2024-05,0x003bfb76af7e140cb11d04f1603921266d39ac64,0.081521,38
110851,2024-06,0x003bfb76af7e140cb11d04f1603921266d39ac64,0.527024,53
110852,2024-07,0x003bfb76af7e140cb11d04f1603921266d39ac64,2.088191,23
110853,2024-08,0x003bfb76af7e140cb11d04f1603921266d39ac64,1.329226,20
110854,2024-09,0x003bfb76af7e140cb11d04f1603921266d39ac64,1.377099,24
110855,2024-10,0x003bfb76af7e140cb11d04f1603921266d39ac64,0.743041,41
110856,2024-11,0x003bfb76af7e140cb11d04f1603921266d39ac64,0.212627,159
110857,2024-12,0x003bfb76af7e140cb11d04f1603921266d39ac64,0.751112,167
110858,2025-01,0x003bfb76af7e140cb11d04f1603921266d39ac64,1.122786,74
110859,2025-02,0x003bfb76af7e140cb11d04f1603921266d39ac64,1.427232,66
110860,2025-03,0x003bfb76af7e140cb11d04f1603921266d39ac64,-0.396224,193
110861,2025-04,0x003bfb76af7e140cb11d04f1603921266d39ac64,-0.068625,102
114280,2024-04,0x003e36550908907c2a2da960fd19a419b9a774b7,4.870195,135
114281,2024-05,0x003e36550908907c2a2da960fd19a419b9a774b7,5.419537,157
114282,2024-06,0x003e36550908907c2a2da960fd19a419b9a774b7,-3.510024,103
114283,2024-07,0x003e36550908907c2a2da960fd19a419b9a774b7,6.819971,119
114284,2024-08,0x003e36550908907c2a2da960fd19a419b9a774b7,8.055369,97
114285,2024-09,0x003e36550908907c2a2da960fd19a419b9a774b7,3.238665,76
114286,2024-10,0x003e36550908907c2a2da960fd19a419b9a774b7,-0.392033,89
114287,2024-11,0x003e36550908907c2a2da960fd19a419b9a774b7,-1.597831,231
114288,2024-12,0x003e36550908907c2a2da960fd19a419b9a774b7,-2.848376,258
114289,2025-01,0x003e36550908907c2a2da960fd19a419b9a774b7,9.232695,169
114290,2025-02,0x003e36550908907c2a2da960fd19a419b9a774b7,-3.557924,93
114291,2025-03,0x003e36550908907c2a2da960fd19a419b9a774b7,-2.544362,79
114292,2025-04,0x003e36550908907c2a2da960fd19a419b9a774b7,-0.551634,66
115651,2025-01,0x003f08e56e673f6e1c888291552add899729d04e,0.000841,4
115652,2025-02,0x003f08e56e673f6e1c888291552add899729d04e,0.029193,152
115653,2025-03,0x003f08e56e673f6e1c888291552add899729d04e,0.027193,252
115654,2025-04,0x003f08e56e673f6e1c888291552add899729d04e,0.040198,275
121972,2025-04,0x0043175fc905701a61b3b7a20a7b9bdd1f3100b2,-8.5e-05,85
