,FROM_ADDRESS,value_sum_DeFi,value_sum_Governance,value_sum_Infrastructure,value_sum_Other,value_sum_Rewards,value_sum_Utility,gas_used_sum_DeFi,gas_used_sum_Governance,gas_used_sum_Infrastructure,gas_used_sum_Other,gas_used_sum_Rewards,gas_used_sum_Utility,avg_gas_per_tx_DeFi,avg_gas_per_tx_Governance,avg_gas_per_tx_Infrastructure,avg_gas_per_tx_Other,avg_gas_per_tx_Rewards,avg_gas_per_tx_Utility,gas_efficiency_DeFi,gas_efficiency_Governance,gas_efficiency_Infrastructure,gas_efficiency_Other,gas_efficiency_Rewards,gas_efficiency_Utility,category_diversity,dominant_category_encoded
3683,0x3bee3397a0c2bf29065459895500fe5549cc8660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228235.0,0.0,0.0,0.0,0.0,0.0,228235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
3684,0x3bee784b6ba24d50af08f7fe617206c375d9c2ad,0.0,0.0,0.0,0.0,0.0,0.0,661.0,0.0,0.0,0.0,0.0,0.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3685,0x3beee66ca73c80e8ef666d9f220c59e35911a42e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169197.0,0.0,0.0,0.0,0.0,0.0,169197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3686,0x3bf0c6ef79334727a6652e90818649645e4ae5e8,0.0,0.0,0.0,0.0,0.0,0.0,116356.0,0.0,0.0,0.0,0.0,0.0,23271.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3687,0x3bf1b837ccc1f62114a3e74ced4fcfb121d7e52a,0.0,0.0,0.0,0.0,0.0,0.0,12862.0,0.0,0.0,0.0,0.0,0.0,12862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3688,0x3bfc3134645ebe0393f90d6a19bcb20bd732964f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58201.0,0.0,0.0,0.0,0.0,0.0,19400.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3689,0x3c00eee9e69e632466458615112ede76c32292ee,12.0,0.0,0.0,0.0,0.0,0.0,45038.0,0.0,0.0,0.0,0.0,0.0,45038.0,0.0,0.0,0.0,0.0,0.0,0.0002664416714774132,0.0,0.0,0.0,0.0,0.0,1,0
3690,0x3c0f895007ca717aa01c8693e59df1e8c3777feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12843.0,8307.0,0.0,0.0,0.0,0.0,12843.0,8307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
3691,0x3c11f6265ddec22f4d049dde480615735f451646,0.0,0.0,0.0,0.0,0.0,0.0,2722390.0,0.0,0.0,526195.0,0.0,0.0,87819.03225806452,0.0,0.0,19488.703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
3692,0x3c1727c283370e476a63768c7cab843b8bd63130,0.0,0.0,0.0,0.0,0.0,0.0,46109.0,0.0,0.0,0.0,0.0,0.0,46109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3693,0x3c2a37b1131da9941a577e7155ee393a5a6d7667,0.0,0.0,0.0,0.0,0.0,0.0,56568.0,0.0,0.0,0.0,0.0,0.0,7071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3694,0x3c2eb4141b2d7ab674f4fd8bd8d0ad34076aa94e,0.0,0.0,0.0,0.0,0.0,0.0,46364.0,0.0,0.0,0.0,0.0,0.0,46364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
