,FROM_ADDRESS,TOP_PROFILE,TOP_PROFILE_SCORE
81,0x03d93835f5ce4dd7f0eaab019b33050939c722b1,Dex Trader,25
82,0x03e6f3e18ff4024485984848d6d1f44e8b1a67f5,Dex Trader,20
83,0x03f34be1bf910116595db1b11e9d1b2ca5d59659,Dex Trader,0
84,0x03f7724180aa6b939894b5ca4314783b0b36b329,Defi Farmer,83
85,0x03f911aedc25c770e701b8f563e8102cfacd62c0,Dex Trader,546
86,0x03fa911dfca026d9c8edb508851b390accf912e8,Dex Trader,0
87,0x041db1c9c7c1af37c2cbff2c0a4d3c8bf9361895,Dex Trader,30
88,0x047043fdda83753776c1e1158c641fc0a2ed821b,Dex Trader,14
89,0x04864c542047ea09ced4cb30b628da08077cdc31,Dex Trader,24
90,0x0495f34e72189f8a77ad47b2f747ea0ecafd313d,Yield Farmer,6
91,0x049ea11d337f185b1aa910d98e8fbd991f0fba7b,Dex Trader,0
92,0x04c3ba6717a07029496404997f0b7f0e99a6ad1f,Dex Trader,20
93,0x04c8577958ccc170eb3d2cca76f9d51bc6e42d8f,Dex Trader,53
94,0x04ce218ead72401702dd5f3e56cedb7d2d477777,Dex Trader,23
95,0x04e78c6d72fd925c39203f21c57db89c2f4d6ce7,Dex Trader,42
96,0x04f0fdcbcea2b7cec978b86a416f3f2a3e98e1a1,Dex Trader,16
97,0x0500001fde3800757d9fc800003d10b8004a11ac,Dex Trader,194
98,0x0509c9e09d3cf2b5346ebc212231aed09c0fd0b6,Dex Trader,360
99,0x0515ff2c19ae54731624591d7adf68777b4ea568,Dex Trader,15
100,0x05198327206123e89c24abd9a482316449bd2aee,Oracle User,12
101,0x051ef36e55875c08e4efaea6072c6d0f66fb0b9f,Dex Trader,87
102,0x05391bd57d8c6fb30d9c39f6618f2207893922dc,Dex Trader,30
103,0x054fd961708d8e2b9c10a63f6157c74458889f0a,Yield Farmer,11
104,0x055c48651015cf5b21599a4ded8c402fdc718058,Dex Trader,1379
105,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,Dex Trader,14
106,0x0594cb5ca47efe1ff25c7b8b43e221683b4db34c,Dex Trader,0
107,0x059615ebf32c946aaab3d44491f78e4f8e97e1d3,Dex Trader,47
108,0x0599282297a15ca86a10dabfc2bd5781f610e246,Dex Trader,24
109,0x059fd32b36408259e49d03119a977f0a29563716,Dex Trader,20
110,0x05c024b441d2c288c2729b484bd4bcef3596aa51,Dex Trader,59
111,0x05ede6ad1f39b7a16c949d5c33a0658c9c7241e3,Dex Trader,0
112,0x0623b2271c62de6df89e1c8d0738900945350752,Dex Trader,12
113,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,Dex Trader,0
114,0x0654874eb7f59c6f5b39931fc45dc45337c967c3,Dex Trader,52
115,0x0655977feb2f289a4ab78af67bab0d17aab84367,Dex Trader,24
116,0x069d89974f4edabde69450f9cf5cf7d8cbd2568d,Dex Trader,61
117,0x06a9ab27c7e2255df1815e6cc0168d7755feb19a,Bridge User,4517
118,0x06acf8b25ab8ce249f487d30d78be4fc021cff8a,Dex Trader,33
119,0x06b7ae29a88b71c4c4aca2d531afa1efb2c849dd,Dex Trader,38
120,0x06be1d61a6fbd6664d7e0174140441787a120f61,Dex Trader,0
121,0x06cd6245156c3608ae67d690c125e86a8bc6a88c,Dex Trader,116
122,0x06da0fd433c1a5d7a4faa01111c044910a184553,Dex Trader,307
123,0x06dd71dab27c1a3e0b172d53735f00bf1a66eb79,Dex Trader,0
124,0x06f00544c0bc62e6db10f46d370dfccdc23d8189,Dex Trader,166
125,0x06fac8c6785976a793339b10433e2fb66e58ff25,Dex Trader,24
126,0x07150e919b4de5fd6a63de1f9384828396f25fdc,Dex Trader,56
127,0x0720d8d697e0346995c5c92857af2a476f12acd0,Dex Trader,17
128,0x078e6e5c852107dec6db403363e385d5daf99c4b,Dex Trader,11
129,0x07ad9ec36775601f76b41f5ac1e0936ce330daac,Dex Trader,20
